       Q^2          GMp        GMn          GEp         GEn
  0.850442211  0.326752416  -0.0560668213  0.214861701  0.0772853083
  0.861934673  0.321405181  -0.053856312  0.211909594  0.0766428299
  0.873427136  0.316191418  -0.0517247334  0.209019293  0.0760044812
  0.884919598  0.311106633  -0.0496688551  0.206189044  0.0753704131
  0.89641206  0.30614652  -0.0476856006  0.203417157  0.0747407617
  0.907904523  0.301306956  -0.045772039  0.200702003  0.0741156493
  0.919396985  0.296583988  -0.0439253769  0.198042008  0.0734951855
  0.930889447  0.291973829  -0.0421429512  0.195435656  0.0728794678
  0.94238191  0.287472843  -0.0404222218  0.192881482  0.0722685829
  0.953874372  0.283077544  -0.0387607651  0.190378074  0.0716626069
  0.965366834  0.278784587  -0.0371562683  0.187924066  0.0710616066
  0.976859296  0.274590758  -0.035606523  0.18551814  0.0704656398
  0.988351759  0.270492972  -0.0341094201  0.183159023  0.0698747559
  0.999844221  0.266488263  -0.0326629443  0.180845483  0.0692889967
  1.01133668  0.262573782  -0.0312651701  0.178576331  0.0687083969
  1.02282915  0.25874679  -0.0299142562  0.176350415  0.0681329845
  1.03432161  0.25500465  -0.028608442  0.174166624  0.0675627814
  1.04581407  0.251344828  -0.0273460432  0.17202388  0.0669978038
  1.05730653  0.247764885  -0.0261254482  0.169921143  0.0664380624
  1.06879899  0.24426247  -0.0249451142  0.167857402  0.0658835632
  1.08029146  0.240835324  -0.0238035643  0.165831684  0.0653343076
  1.09178392  0.237481266  -0.0226993838  0.163843041  0.0647902926
  1.10327638  0.234198197  -0.0216312173  0.16189056  0.0642515117
  1.11476884  0.230984094  -0.0205977663  0.159973352  0.0637179545
  1.12626131  0.227837006  -0.0195977857  0.158090559  0.0631896072
  1.13775377  0.224755052  -0.018630082  0.156241348  0.0626664532
  1.14924623  0.221736416  -0.0176935104  0.154424912  0.0621484728
  1.16073869  0.218779348  -0.0167869726  0.152640466  0.0616356439
  1.17223116  0.215882157  -0.015909415  0.150887253  0.0611279419
  1.18372362  0.213043211  -0.015059826  0.149164536  0.0606253401
  1.19521608  0.210260934  -0.0142372345  0.1474716  0.0601278096
  1.20670854  0.207533804  -0.0134407081  0.145807752  0.0596353198
  1.21820101  0.20486035  -0.0126693512  0.144172318  0.0591478385
  1.22969347  0.20223915  -0.011922303  0.142564646  0.0586653317
