       Q^2          GMp        GMn          GEp         GEn
  2.13759799  0.129320386  -0.0301648828  0.0855963134  0.047662736
  2.14909045  0.128299556  -0.0298378217  0.0849781216  0.0473708004
  2.16058291  0.127290999  -0.0295157618  0.0843666709  0.0470814146
  2.17207538  0.126294515  -0.0291986052  0.0837618623  0.0467945514
  2.18356784  0.125309909  -0.0288862563  0.0831635991  0.0465101838
  2.1950603  0.12433699  -0.0285786218  0.0825717862  0.0462282852
  2.20655276  0.12337557  -0.0282756104  0.08198633  0.0459488292
  2.21804523  0.122425466  -0.0279771331  0.0814071389  0.0456717898
  2.22953769  0.121486498  -0.0276831029  0.080834123  0.0453971412
  2.24103015  0.120558489  -0.0273934351  0.0802671938  0.045124858
  2.25252261  0.119641266  -0.0271080466  0.0797062645  0.044854915
  2.26401508  0.118734661  -0.0268268564  0.0791512499  0.0445872873
  2.27550754  0.117838507  -0.0265497853  0.0786020662  0.0443219504
  2.287  0.116952641  -0.026276756  0.0780586313  0.0440588799
