Dataset:      Vertical 3He, Q2=0.5
Runs:   20890-21006
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20949 0 0 0 0 0 0 0 0 27.355999999999995 27.355999999999995 699.99999999999989
20961 8247 5762 19449 15458 124775 107646 118740 103184 27.355999999999995 27.355999999999995 699.99999999999989
20962 8883 4941 20637 14085 130299 100894 124924 96948 27.355999999999995 27.355999999999995 699.99999999999989
20963 5109 8822 12510 22223 82153 148225 78805 142089 27.355999999999995 27.355999999999995 699.99999999999989
20964 7290 5101 18381 14992 123179 109684 117873 105589 27.355999999999995 27.355999999999995 699.99999999999989
20965 6312 5917 15447 16471 101095 116924 96685 112427 27.355999999999995 27.355999999999995 699.99999999999989
20966 5803 5949 15004 17700 102168 129832 97773 124742 27.355999999999995 27.355999999999995 699.99999999999989
20967 6840 5703 17373 16167 116808 116283 111694 111531 27.355999999999995 27.355999999999995 699.99999999999989
20968 7303 5084 18793 14492 127274 104660 122380 99990 27.355999999999995 27.355999999999995 699.99999999999989
20969 6826 5404 17485 15742 118055 114741 113614 109790 27.355999999999995 27.355999999999995 699.99999999999989
20971 7088 5215 18287 14992 123846 109384 119413 103422 27.355999999999995 27.355999999999995 699.99999999999989
20972 7011 5499 17736 15681 118784 112804 114630 108600 27.355999999999995 27.355999999999995 699.99999999999989
20973 7773 4410 20469 12702 141342 92149 135068 88595 27.355999999999995 27.355999999999995 699.99999999999989
20975 7581 4752 19581 13578 132331 98530 127942 93525 27.355999999999995 27.355999999999995 699.99999999999989
20976 6955 5410 17821 15469 120708 111494 115635 106543 27.355999999999995 27.355999999999995 699.99999999999989
20977 5956 6689 14998 18437 100217 130510 95848 125008 27.355999999999995 27.355999999999995 699.99999999999989
20978 2017 1500 5251 4422 36179 32502 34171 30867 27.355999999999995 27.355999999999995 699.99999999999989
20979 7513 4599 19066 13875 127697 103259 122877 98322 27.355999999999995 27.355999999999995 699.99999999999989
20980 373 4797 979 13554 6869 97045 6536 92909 27.355999999999995 27.355999999999995 699.99999999999989
20982 6702 5475 17571 15567 120557 111644 115156 107351 27.355999999999995 27.355999999999995 699.99999999999989
20983 1416 442 4452 1708 33712 14008 32562 13444 27.355999999999995 27.355999999999995 699.99999999999989
20984 1120 0 4420 0 36949 0 34811 0 27.355999999999995 27.355999999999995 699.99999999999989
20985 0 1118 0 4427 0 36923 0 35062 27.355999999999995 27.355999999999995 699.99999999999989
20986 684 654 2271 2379 17626 19102 16892 18460 27.355999999999995 27.355999999999995 699.99999999999989
20988 1244 0 4541 0 36961 0 34852 0 27.355999999999995 27.355999999999995 699.99999999999989
20989 115 917 316 3989 2298 34270 2208 32529 27.355999999999995 27.355999999999995 699.99999999999989
20990 0 1206 0 4929 0 41189 0 39576 27.355999999999995 27.355999999999995 699.99999999999989
20991 877 452 3178 1868 25574 15856 24381 15136 27.355999999999995 27.355999999999995 699.99999999999989
20992 1214 0 4922 0 41344 0 39380 0 27.355999999999995 27.355999999999995 699.99999999999989
20993 0 1204 0 5116 0 43434 0 41633 27.355999999999995 27.355999999999995 699.99999999999989
20994 1374 6 5271 21 43404 185 41699 194 27.355999999999995 27.355999999999995 699.99999999999989
20995 6435 5777 16653 16511 113237 118983 108764 113939 27.355999999999995 27.355999999999995 699.99999999999989
21001 2681 2871 6629 8286 43905 60028 41720 57313 27.355999999999995 27.355999999999995 699.99999999999989
21002 6804 5698 17943 15439 123233 108309 118502 103395 27.355999999999995 27.355999999999995 699.99999999999989
21003 2569 3376 6316 9832 41493 71427 39983 68864 27.355999999999995 27.355999999999995 699.99999999999989
21004 7155 5314 17745 15595 117605 114356 112923 109267 27.355999999999995 27.355999999999995 699.99999999999989
21005 7370 4902 18695 14499 125290 106129 120329 102581 27.355999999999995 27.355999999999995 699.99999999999989
