     0.0000    1.0000     2.7900
     2.2440    0.0412	  0.1723
     2.2550    0.0408	  0.1710
     2.2660    0.0404	  0.1697
     2.2770    0.0400	  0.1685
     2.2880    0.0396	  0.1672
     2.2990    0.0392	  0.1660
     2.3100    0.0388	  0.1648
     2.3210    0.0385	  0.1636
     2.3320    0.0381	  0.1624
     2.3430    0.0377	  0.1612
     2.3540    0.0374	  0.1601
     2.3650    0.0370	  0.1589
     2.3760    0.0367	  0.1578
     2.3870    0.0363	  0.1566
     2.3980    0.0360	  0.1555
     2.4090    0.0356	  0.1544
     2.4200    0.0353	  0.1533
     2.4310    0.0350	  0.1523
     2.4420    0.0347	  0.1512
     2.4530    0.0343	  0.1501
     2.4640    0.0340	  0.1491
     2.4750    0.0337	  0.1480
     2.4860    0.0334	  0.1470
     2.4970    0.0331	  0.1460
     2.5080    0.0328	  0.1450
     2.5190    0.0325	  0.1440
     2.5300    0.0322	  0.1430
     2.5410    0.0319	  0.1420
     2.5520    0.0316	  0.1411
     2.5630    0.0313	  0.1401
     2.5740    0.0311	  0.1392
     2.5850    0.0308	  0.1382
     2.5960    0.0305	  0.1373
     2.6070    0.0302	  0.1364
     2.6180    0.0300	  0.1355
     2.6290    0.0297	  0.1346
     2.6400    0.0294	  0.1337
     2.6510    0.0292	  0.1328
     2.6620    0.0289	  0.1319
     2.6730    0.0287	  0.1311
     2.6840    0.0284	  0.1302
     2.6950    0.0282	  0.1293
     2.7060    0.0279	  0.1285
     2.7170    0.0277	  0.1277
     2.7280    0.0275	  0.1268
     2.7390    0.0272	  0.1260
     2.7500    0.0270	  0.1252
     2.7610    0.0268	  0.1244
     2.7720    0.0265	  0.1236
     2.7830    0.0263	  0.1228
     2.7940    0.0261	  0.1221
     2.8050    0.0259	  0.1213
     2.8160    0.0257	  0.1205
     2.8270    0.0255	  0.1198
     2.8380    0.0252	  0.1190
     2.8490    0.0250	  0.1183
     2.8600    0.0248	  0.1175
     2.8710    0.0246	  0.1168
     2.8820    0.0244	  0.1161
     2.8930    0.0242	  0.1154
     2.9040    0.0240	  0.1146
     2.9150    0.0238	  0.1139
     2.9260    0.0236	  0.1132
     2.9370    0.0234	  0.1126
     2.9480    0.0233	  0.1119
     2.9590    0.0231	  0.1112
     2.9700    0.0229	  0.1105
     2.9810    0.0227	  0.1099
     2.9920    0.0225	  0.1092
     3.0030    0.0223	  0.1085
     3.0140    0.0222	  0.1079
     3.0250    0.0220	  0.1072
     3.0360    0.0218	  0.1066
     3.0470    0.0216	  0.1060
     3.0580    0.0215	  0.1053
     3.0690    0.0213	  0.1047
     3.0800    0.0211	  0.1041
     3.0910    0.0210	  0.1035
     3.1020    0.0208	  0.1029
     3.1130    0.0207	  0.1023
     3.1240    0.0205	  0.1017
     3.1350    0.0203	  0.1011
     3.1460    0.0202	  0.1005
     3.1570    0.0200	  0.0999
     3.1680    0.0199	  0.0994
     3.1790    0.0197	  0.0988
     3.1900    0.0196	  0.0982
     3.2010    0.0194	  0.0977
     3.2120    0.0193	  0.0971
     3.2230    0.0191	  0.0966
     3.2340    0.0190	  0.0960
     3.2450    0.0189	  0.0955
     3.2560    0.0187	  0.0949
     3.2670    0.0186	  0.0944
     3.2780    0.0184	  0.0939
     3.2890    0.0183	  0.0933
     3.3000    0.0182	  0.0928
     3.3110    0.0180	  0.0923
     3.3220    0.0179	  0.0918
     3.3330    0.0178	  0.0913
     3.3440    0.0177	  0.0908
     3.3550    0.0175	  0.0903
     3.3660    0.0174	  0.0898
     3.3770    0.0173	  0.0893
     3.3880    0.0172	  0.0888
     3.3990    0.0170	  0.0883
     3.4100    0.0169	  0.0878
     3.4210    0.0168	  0.0874
     3.4320    0.0167	  0.0869
     3.4430    0.0165	  0.0864
     3.4540    0.0164	  0.0860
     3.4650    0.0163	  0.0855
     3.4760    0.0162	  0.0850
     3.4870    0.0161	  0.0846
     3.4980    0.0160	  0.0841
     3.5090    0.0159	  0.0837
     3.5200    0.0158	  0.0832
